sample,freq_GHz,Zapp_d_Re,Zapp_d_Im,Zapp_t_Re,Zapp_t_Im,Zth_pred_Re,Zth_pred_Im,Zth_true_Re,Zth_true_Im
2573,8.35147465437788,745.8629,1123.9429,831.1046,914.1226,2538.417659145246,1080.0052438598796,1956.569616898422,690.8871430000158
2573,8.451612903225806,733.49164,1118.7682,820.1949,913.2267,2530.924415689226,1086.571743503912,1953.0454900941047,694.5941195283876
2573,8.551751152073733,721.37933,1113.5425,809.4349,912.212,2523.38957273691,1093.0943218939992,1949.4944201910196,698.3098827142079
2573,8.65188940092166,709.519,1108.2753,798.82385,911.0872,2515.8142784633997,1099.571449955862,1945.9167352931952,702.0328191888533
2573,8.752027649769584,697.9053,1102.9703,788.36084,909.8552,2508.199678434263,1106.001683138465,1942.3127679120046,705.7613869380832
2573,8.85216589861751,686.53406,1097.6294,778.045,908.51953,2500.546915049392,1112.3836574780767,1938.6828546252127,709.4941115739535
2573,8.952304147465437,675.3984,1092.2609,767.8748,907.0865,2492.85712701327,1118.716085902814,1935.0273357561196,713.2295828539836
2573,9.052442396313364,664.4939,1086.8671,757.84924,905.5601,2485.1314488302287,1124.9977547589867,1931.3465550711524,716.966451428352
2573,9.15258064516129,653.8157,1081.4509,747.9676,903.9424,2477.371010323353,1131.2275205421831,1927.640859494393,720.703425797572
2573,9.252718894009217,643.3576,1076.0192,738.22784,902.2395,2469.576936175879,1137.404306817562,1923.9105988377073,724.439269464627
2573,9.352857142857141,633.11646,1070.5717,728.629,900.4547,2461.7503454939865,1143.5271013151566,1920.1561255452398,728.1727982669196
2573,9.452995391705068,623.08563,1065.1155,719.1698,898.59174,2453.8923513900013,1149.5949531872266,1916.3777944511899,731.9028778746205
2573,9.553133640552995,613.26135,1059.6508,709.84863,896.6533,2446.0040605850986,1155.6069704157967,1912.5759625498533,735.6284214431498
2573,9.653271889400921,603.63873,1054.1815,700.66406,894.6448,2438.086573030689,1161.5623173595347,1908.7509887770452,739.3483874085252
2573,9.753410138248848,594.21234,1048.7124,691.6146,892.5686,2430.140981547701,1167.4602124300195,1904.9032338020663,743.0617774152455
2573,9.853548387096774,584.97925,1043.2426,682.69867,890.42804,2422.1683714830733,1173.29992588829,1901.0330598294845,746.7676343672265
2573,9.9536866359447,575.93384,1037.777,673.9149,888.22546,2414.1698203827873,1179.0807777532998,1897.1408304100507,750.4650405930631
2573,10.053824884792625,567.07196,1032.317,665.2614,885.9648,2406.1463976808373,1184.8021358146107,1893.226910260131,754.1531161175903
2573,10.153963133640552,558.38934,1026.8657,656.73676,883.64984,2398.0991644035716,1190.4634137422556,1889.291665089104,757.8310170323598
2573,10.254101382488479,549.88226,1021.42365,648.33954,881.28174,2390.0291728888706,1196.0640692872837,1885.3354614342047,761.4979339582134
2573,10.354239631336405,541.5462,1015.9941,640.06793,878.86414,2381.9374665196674,1201.60360256701,1881.3586665023595,765.1530905936831
2573,10.454377880184332,533.37775,1010.5775,631.9202,876.3997,2373.8250794713385,1207.081554429469,1877.3616480185808,768.7957423434108
2573,10.554516129032258,525.3725,1005.177,623.8949,873.8902,2365.693036472529,1212.4975048919985,1873.344774080536,772.4251750212413
2573,10.654654377880183,517.5273,999.79266,615.99036,871.3397,2357.5423525789884,1217.8510716492772,1869.308413018935,776.0407036230342
2573,10.75479262672811,509.83746,994.4273,608.2049,868.7483,2349.374032960021,1223.141908646491,1865.252933263414,779.6416711646177
