source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Ldv,re_encoded_Cdv,re_encoded_Rav
Cbv,-0.835443,0.34761843,-0.7610555,0.36570868,0.13238557,-0.015168451,0.20564744
Cbv,-0.7848101,0.34440282,-0.71079123,0.36560234,0.12481812,-0.01477088,0.2074967
Cbv,-0.73417723,0.34087762,-0.6613869,0.36523297,0.11623678,-0.014557689,0.20898291
Cbv,-0.6835443,0.33713162,-0.61275864,0.36448675,0.106902875,-0.014626503,0.21013178
Cbv,-0.6329114,0.3332569,-0.5648192,0.3632563,0.097036965,-0.015084341,0.210933
Cbv,-0.5822785,0.32934645,-0.51748186,0.3614604,0.08684795,-0.016035087,0.21139492
Cbv,-0.5316456,0.32548225,-0.47066084,0.3590621,0.076546304,-0.01757215,0.21154231
Cbv,-0.48101267,0.32173324,-0.4242704,0.35604438,0.06629886,-0.019767888,0.211379
Cbv,-0.43037975,0.31813988,-0.3782217,0.35243043,0.056282926,-0.02266135,0.21091993
Cbv,-0.37974682,0.3147156,-0.33242586,0.34825632,0.046665728,-0.026247427,0.21013813
Cbv,-0.32911393,0.31145516,-0.2867956,0.34358022,0.03763228,-0.030461274,0.20903683
Cbv,-0.278481,0.3083459,-0.24124941,0.3384573,0.029376816,-0.035178974,0.20756468
Cbv,-0.2278481,0.30539125,-0.19571653,0.3329697,0.022151614,-0.040206775,0.20571737
Cbv,-0.17721519,0.3026425,-0.150138,0.32720348,0.016201286,-0.045298032,0.20350236
Cbv,-0.12658228,0.30022156,-0.104471184,0.32126465,0.01177838,-0.050170287,0.20093952
Cbv,-0.07594936,0.2983273,-0.05869007,0.31530014,0.009128321,-0.054529063,0.19813944
Cbv,-0.025316456,0.29722148,-0.012785173,0.309479,0.008424194,-0.058105927,0.19522087
Cbv,0.025316456,0.29717466,0.033240195,0.3040093,0.009784397,-0.060684636,0.19236915
