source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Cdv,re_encoded_Rav
Cbv,0.2778481,0.7843026,0.28380072,0.7498092,0.48997253,0.4956864
Cbv,0.2892405,0.78416616,0.2939063,0.74824715,0.48847616,0.4973519
Cbv,0.30063292,0.78528416,0.3034982,0.7475996,0.48877326,0.49892655
Cbv,0.3120253,0.7859244,0.3136751,0.74693024,0.48878703,0.501328
Cbv,0.32341772,0.78509104,0.32354218,0.7464606,0.48740056,0.50535107
Cbv,0.33481014,0.78363264,0.33410025,0.7444283,0.48710316,0.50737286
Cbv,0.34620252,0.7831139,0.34434095,0.7435037,0.48668343,0.5092072
Cbv,0.35759494,0.78397423,0.35528356,0.74468327,0.48662257,0.5099783
Cbv,0.36898735,0.784322,0.3665136,0.7456556,0.4863326,0.5107461
Cbv,0.38037974,0.785458,0.37908575,0.7458589,0.48676854,0.51134855
Cbv,0.39177215,0.78659046,0.3907823,0.74570984,0.48835862,0.5105717
Cbv,0.40316457,0.78743523,0.4020699,0.7455502,0.49027368,0.51054364
Cbv,0.41455695,0.78705275,0.41377202,0.74629366,0.49203366,0.5105957
Cbv,0.42594936,0.7846614,0.425464,0.74721235,0.4938154,0.5131015
Cbv,0.43734178,0.78470385,0.43611598,0.74790066,0.49655196,0.51368046
Cbv,0.44873416,0.78729355,0.44682926,0.7479934,0.49859503,0.51532304
Cbv,0.46012658,0.790388,0.45854586,0.74746275,0.49894497,0.51681244
Cbv,0.471519,0.7928442,0.470988,0.74663925,0.4963611,0.5182816
Cbv,0.48291138,0.79506046,0.48293424,0.74587715,0.49505442,0.5187239
Cbv,0.4943038,0.7972222,0.49459633,0.7448782,0.49580845,0.518013
Cbv,0.5056962,0.79682636,0.5060644,0.74314713,0.49595004,0.5165353
Cbv,0.5170886,0.79658365,0.5152681,0.74299073,0.49424997,0.5148194
Cbv,0.528481,0.7976619,0.5253375,0.7428551,0.49250197,0.51342887
Cbv,0.5398734,0.8001314,0.53817356,0.7421858,0.49190965,0.511928
Cbv,0.55126584,0.8032552,0.5513164,0.74196297,0.4920657,0.51007867
Cbv,0.56265825,0.80566716,0.56402934,0.7421768,0.4919258,0.50796086
Cbv,0.5740506,0.806322,0.5763121,0.7434328,0.49163404,0.50533694
Cbv,0.585443,0.8054954,0.5873563,0.74562514,0.49106604,0.50313103
Cbv,0.59683543,0.8046454,0.5983393,0.7474355,0.49171934,0.5038062
Cbv,0.60822785,0.8039549,0.6098707,0.75035137,0.49308902,0.50248194
Cbv,0.61962026,0.802609,0.62165815,0.75254345,0.49452654,0.50052595
Cbv,0.6310127,0.79982793,0.63222194,0.75343055,0.49646333,0.49863675
Cbv,0.6424051,0.8002238,0.6431365,0.75379336,0.49840423,0.49403518
Cbv,0.65379745,0.80053014,0.65365523,0.7536144,0.49830016,0.49030152
Cbv,0.66518986,0.8005483,0.66418654,0.7532185,0.49851987,0.48829582
Cbv,0.6765823,0.80102074,0.67555225,0.7527552,0.4991648,0.4867103
Cbv,0.6879747,0.8000598,0.6876739,0.75231284,0.49900553,0.4860419
Cbv,0.6993671,0.79829377,0.6985172,0.7520835,0.49909815,0.48514432
Cbv,0.7107595,0.79759437,0.70832646,0.75236535,0.5003611,0.48441058
Cbv,0.7221519,0.7985148,0.7177899,0.753684,0.50076604,0.48502252
Cbv,0.7335443,0.7987308,0.72769254,0.7546012,0.5005166,0.4871104
Cbv,0.7449367,0.7984133,0.7390445,0.7548153,0.49981683,0.48881102
Cbv,0.7563291,0.796357,0.7514057,0.7538526,0.4995617,0.49014005
Cbv,0.76772153,0.7948732,0.7659027,0.75322515,0.5001906,0.49243265
Cbv,0.77911395,0.79442817,0.7805757,0.7532247,0.50076884,0.49441075
Cbv,0.7905063,0.79255646,0.793057,0.7526261,0.50157773,0.49492842
Cbv,0.8018987,0.7939965,0.803752,0.75037986,0.5044974,0.49547988
Cbv,0.81329113,0.79720426,0.8152691,0.7487462,0.507551,0.4972301
Cbv,0.82468355,0.79938424,0.8262122,0.7490381,0.51032746,0.4996312
Cbv,0.83607596,0.7972155,0.8363054,0.750267,0.51028556,0.5013171
Cbv,0.8474684,0.7989174,0.84870666,0.753062,0.51023495,0.50222224
Cbv,0.85886073,0.7995318,0.8598389,0.75531906,0.51170814,0.5018315
Cbv,0.87025315,0.80154157,0.87100923,0.75471014,0.5080634,0.4999593
Cbv,0.88164556,0.8043012,0.88270074,0.7507322,0.5050731,0.49624535
Cbv,0.893038,0.8042827,0.8944068,0.7493582,0.5058231,0.49531692
Cbv,0.9044304,0.80192435,0.9075222,0.7502845,0.5095586,0.49533588
Cbv,0.9158228,0.7948834,0.9190764,0.7498488,0.5134944,0.49616048
Cbv,0.9272152,0.78759825,0.9295205,0.7503996,0.5156214,0.49923536
Cbv,0.9386076,0.782682,0.9401854,0.7502499,0.5174741,0.50179076
Cbv,0.95,0.77748895,0.9505089,0.75027907,0.52034086,0.5093714
Rdv,0.05,0.8543105,0.7089731,0.039574694,0.45452625,0.40701726
Rdv,0.061392404,0.8469977,0.71186066,0.053098414,0.46647584,0.47669613
Rdv,0.07278481,0.83447903,0.7076235,0.065702476,0.48428842,0.53204554
Rdv,0.08417722,0.8226743,0.6999471,0.07954379,0.5005902,0.5744422
Rdv,0.09556962,0.8352269,0.68703854,0.09223481,0.49617913,0.6007659
Rdv,0.106962025,0.849132,0.6865203,0.10501052,0.49548858,0.5868845
Rdv,0.11835443,0.8451548,0.67695284,0.11774646,0.50311965,0.52663165
Rdv,0.12974684,0.8009354,0.67528284,0.1326875,0.5010097,0.4873579
Rdv,0.14113924,0.79926765,0.67771286,0.14115478,0.5141466,0.5581507
Rdv,0.15253164,0.8076281,0.67522556,0.1546687,0.52904224,0.6239191
Rdv,0.16392405,0.8152559,0.6695522,0.20220333,0.5082499,0.6531382
Rdv,0.17531645,0.82489234,0.667419,0.17833094,0.49134004,0.54802483
Rdv,0.18670887,0.8193546,0.66864824,0.17928684,0.48462865,0.4764959
Rdv,0.19810127,0.80973774,0.6667065,0.18897016,0.48706985,0.4928356
Rdv,0.20949367,0.79658204,0.6650058,0.20239162,0.49097842,0.50691617
Rdv,0.22088608,0.78046846,0.66335076,0.21722881,0.49376017,0.5233171
Rdv,0.23227848,0.7726258,0.6642308,0.23230954,0.49636182,0.5343987
Rdv,0.24367088,0.7693856,0.6638902,0.24876699,0.5006024,0.5452577
Rdv,0.2550633,0.77014565,0.66302663,0.2638625,0.5053759,0.5534545
Rdv,0.2664557,0.7701096,0.6631588,0.27864394,0.50863487,0.5641443
Rdv,0.2778481,0.77199167,0.66331184,0.29155493,0.51206994,0.5679933
Rdv,0.2892405,0.7736333,0.6645506,0.30292863,0.51410383,0.5673936
Rdv,0.30063292,0.7767972,0.6665948,0.3146252,0.51562315,0.5684124
Rdv,0.3120253,0.77943236,0.6674456,0.32373977,0.51571447,0.5655445
Rdv,0.32341772,0.7817077,0.66802967,0.33228087,0.51524866,0.56111693
Rdv,0.33481014,0.7837246,0.66868424,0.34102932,0.51435226,0.5568796
Rdv,0.34620252,0.786281,0.66925615,0.3499717,0.51327926,0.55309534
Rdv,0.35759494,0.7892302,0.6697602,0.35903457,0.5120848,0.5493726
Rdv,0.36898735,0.7921486,0.67017335,0.36918887,0.510025,0.5453622
Rdv,0.38037974,0.79471153,0.67051804,0.37942627,0.507607,0.54163957
Rdv,0.39177215,0.797015,0.6710716,0.38781905,0.5055025,0.53846735
Rdv,0.40316457,0.7993212,0.67164516,0.39638615,0.50339395,0.5352068
Rdv,0.41455695,0.80122685,0.6723547,0.40606713,0.5013894,0.5320298
Rdv,0.42594936,0.80220973,0.67256004,0.4161835,0.501292,0.5274824
Rdv,0.43734178,0.80314136,0.67240655,0.42695153,0.5009927,0.5226633
Rdv,0.44873416,0.8040239,0.6722981,0.43810397,0.49996054,0.5183655
Rdv,0.46012658,0.8047469,0.672226,0.44947097,0.49902242,0.51469904
Rdv,0.471519,0.8050665,0.67211896,0.46116892,0.49872202,0.5095482
