Rbv,Cbv,Rdv,Ldv,Cdv,Rav,ratio_Ldv_over_obs
0.44166374,0.14037782,0.40590903,1.0,0.39249995,0.41576752,2.7836266
0.12442174,0.05793857,0.4091117,1.0,0.3664239,0.5651815,3.2828271
0.46197584,0.19340369,0.41543022,1.0,0.40403807,0.3930868,2.6767533
0.13237432,0.092913285,0.14953464,1.0,0.39026314,0.39839265,4.2974596
0.44587415,0.21371594,0.41233596,1.0,0.38501662,0.395123,2.6996882
0.47162938,0.18754461,0.2927352,1.0,0.3848583,0.6763629,2.4836943
0.5136399,0.25284562,0.3429069,1.0,0.39277884,0.4645706,2.5422754
0.39714935,0.18458872,0.4392374,1.0,0.39514703,0.7254717,2.3347094
0.39219743,0.10588897,0.40083227,1.0,0.38601494,0.4086005,2.952406
0.27794397,0.121689044,0.4182202,1.0,0.39927715,0.39563954,3.1002562
0.42399532,0.1764809,0.41104138,1.0,0.38448694,0.41279534,2.7642639
0.21914247,0.15040423,0.42163712,1.0,0.37821284,0.4318999,3.12247
0.45231453,0.13400152,0.41749766,1.0,0.39102215,0.40796423,2.7734632
0.28515732,0.10487408,0.4063436,1.0,0.3816763,0.38936073,3.1899714
0.15791005,0.110207774,0.4598058,1.0,0.41008553,0.6940834,2.7291198
0.4225573,0.13282637,0.27116063,1.0,0.39919257,0.4299499,3.0198948
0.31659412,0.18279187,0.38599065,1.0,0.39508805,0.38294956,3.0058656
0.43721732,0.13098736,0.40379763,1.0,0.39140898,0.4804817,2.711654
0.23375887,0.098847024,0.4089391,1.0,0.39864135,0.43236253,3.1795514
0.51185775,0.23049134,0.3459403,1.0,0.38772276,0.49882784,2.5318508
0.5341282,0.321359,0.45230013,1.0,0.43270135,0.71833783,2.0334902
0.3525192,0.13159697,0.41470397,1.0,0.38525245,0.3884204,2.9895492
0.43351644,0.11494596,0.3798519,1.0,0.38522384,0.48017195,2.7875185
0.5113514,0.21442662,0.4011308,1.0,0.39526084,0.44538042,2.5412314
0.4167531,0.120628916,0.39835483,1.0,0.38244253,0.45482668,2.8200693
0.41167903,0.118725896,0.41214874,1.0,0.38713077,0.39733046,2.8951693
0.44075844,0.15416293,0.31087774,1.0,0.399035,0.41706532,2.90377
0.43729562,0.2167486,0.40462342,1.0,0.39086676,0.4118969,2.686105
0.42575732,0.14460789,0.43282878,1.0,0.40504888,0.74235237,2.3249378
0.1910538,0.08057671,0.40089566,1.0,0.38223717,0.3836624,3.4760222
0.3871305,0.11570236,0.21303934,1.0,0.39952987,0.39619687,3.3077557
0.44247228,0.15113623,0.3961815,1.0,0.38887787,0.5120753,2.6444628
0.42895573,0.1548776,0.39570662,1.0,0.3884331,0.51546216,2.6547236
0.3828044,0.1309904,0.43633613,1.0,0.38343218,0.6681211,2.4978967
0.49156034,0.24874616,0.48876742,1.0,0.41524705,0.69908637,2.1336453
0.45359477,0.1600124,0.40985364,1.0,0.38177258,0.3886811,2.7872007
0.25358418,0.09305637,0.059512652,1.0,0.3322843,0.59186286,3.75855
0.43913633,0.18038754,0.40482336,1.0,0.4011628,0.393938,2.748086
0.4557139,0.19730107,0.41392627,1.0,0.39455917,0.42099395,2.6560504
0.46682927,0.22434035,0.39429566,1.0,0.3896796,0.40204218,2.66356
0.31166872,0.16484472,0.4211395,1.0,0.4016913,0.4022047,2.938499
0.36714417,0.20366058,0.3736503,1.0,0.38686162,0.40617734,2.8777077
0.4755207,0.25103107,0.39664987,1.0,0.38927677,0.65787643,2.3037708
0.4128372,0.18714829,0.40182024,1.0,0.3685445,0.45417455,2.7404397
0.39781642,0.20879026,0.21268582,1.0,0.38454074,0.3960731,3.1251829
0.33037964,0.14676069,0.40795907,1.0,0.38704887,0.40758583,2.9766614
0.33804077,0.12413543,0.4059399,1.0,0.39227217,0.44549397,2.9310346
0.23547776,0.1595922,0.4052442,1.0,0.38775834,0.4862397,2.986301
0.46026927,0.23174821,0.40698585,1.0,0.3667281,0.622642,2.3942077
0.51279914,0.24616414,0.37748045,1.0,0.38891828,0.43406087,2.5517719
0.42771143,0.1629283,0.03848414,1.0,0.38102955,0.39483684,3.5587435
0.48145896,0.2003152,0.29909435,1.0,0.3881333,0.70356613,2.412466
0.44064507,0.16618297,0.4043088,1.0,0.3826935,0.44345996,2.721399
0.4469825,0.14318988,0.40096694,1.0,0.3909814,0.45980632,2.7145483
0.3892683,0.13018626,0.390616,1.0,0.3868086,0.7560102,2.4355917
0.41761038,0.1357233,0.39452058,1.0,0.3971524,0.47709438,2.7440848
0.3866401,0.115475714,0.23439388,1.0,0.37372476,0.39932996,3.312214
0.2225552,0.13998087,0.40739793,1.0,0.38584408,0.37079743,3.275305
0.40769064,0.104051694,0.39937147,1.0,0.3929349,0.4983089,2.7741442
0.45058414,0.1922434,0.41247907,1.0,0.3987836,0.39771986,2.700061
0.45098528,0.16946505,0.40692815,1.0,0.39668298,0.39840257,2.7435384
0.2352151,0.14455836,0.4245226,1.0,0.3836609,0.39333782,3.1619656
0.1329216,0.10098626,0.38862243,1.0,0.3712158,0.43143684,3.5083218
0.27075672,0.17623506,0.4286306,1.0,0.39903924,0.6131662,2.6485467
0.3671068,0.15289576,0.40075517,1.0,0.3842995,0.39320782,2.9441814
0.31554654,0.1267957,0.33121535,1.0,0.3949651,0.44848886,3.092124
0.44545296,0.17075282,0.41831577,1.0,0.37701157,0.54683954,2.5531404
0.32637683,0.13853984,0.3209828,1.0,0.36856005,0.42549908,3.1646402
0.3201016,0.14444232,0.4036435,1.0,0.39133605,0.41426653,2.9872327
0.3718524,0.15800904,0.39119387,1.0,0.39850396,0.40898788,2.8926024
0.28966707,0.12170047,0.38456336,1.0,0.37899312,0.39114285,3.1927116
0.47225028,0.18553726,0.40442985,1.0,0.38819024,0.44717744,2.634928
0.4521217,0.24087282,0.3956713,1.0,0.38698623,0.40748635,2.655142
0.4725249,0.16522887,0.427136,1.0,0.39277115,0.38376456,2.7152877
