sv_index,enc_L0,enc_L3,enc_L6,enc_L9,enc_fc_mu,enc_fc_logvar,dec_L0,dec_L2,dec_L4,dec_L6,dec_L8
105,,0.08177562,0.043739676,0.0017660168,,,,3.3406344e-09,1.3008797e-09,3.7254675e-09,
106,,0.07984686,0.03923642,0.001485433,,,,1.8764135e-09,9.619369e-10,3.0154395e-09,
107,,0.077737615,0.03838077,0.0014464405,,,,2.9990588e-10,9.296925e-10,2.8448723e-09,
108,,0.07525177,0.032454025,0.0010028714,,,,2.4200764e-10,7.4957696e-10,2.4001723e-09,
109,,0.0718224,0.027076555,0.0009098213,,,,3.2179363e-11,6.472506e-10,1.5233931e-09,
110,,0.063754536,0.026906416,0.0007096736,,,,5.4964228e-12,5.840121e-10,1.4838974e-09,
111,,0.06178623,0.020696955,0.00038590765,,,,3.574372e-12,4.730382e-10,9.419638e-10,
112,,0.05461851,0.017686969,0.00027830098,,,,4.2412658e-13,4.2433218e-10,7.155879e-10,
113,,0.053585444,0.014770914,0.00023027768,,,,1.8583499e-13,4.0541728e-10,3.0151884e-10,
114,,0.051691484,0.011221828,0.00018452415,,,,7.276974e-14,3.112412e-10,8.479778e-11,
115,,0.0478487,0.00854247,0.00015440775,,,,6.172362e-14,2.4576702e-10,3.1850637e-11,
116,,0.044833455,0.0075846054,8.359186e-05,,,,3.543244e-14,2.2432523e-10,5.527464e-12,
117,,0.041316792,0.0056183967,5.22257e-05,,,,2.153043e-14,1.914221e-10,2.6517477e-12,
118,,0.030626016,0.004320718,5.068794e-05,,,,1.3282506e-14,1.8687997e-10,1.1057925e-12,
119,,0.028794067,0.0042517115,3.5583515e-05,,,,8.362714e-15,1.3687436e-10,5.293903e-13,
120,,0.026581611,0.0034323032,2.673815e-05,,,,6.5664192e-15,1.0966496e-10,6.150188e-14,
121,,0.023680175,0.0015497846,1.2840606e-05,,,,4.291348e-15,9.431861e-11,4.3925343e-14,
122,,0.022759609,0.0013360938,9.210776e-06,,,,2.7598877e-15,8.037381e-11,2.1535694e-14,
123,,0.021209553,0.0011168671,4.4485555e-06,,,,9.064686e-16,6.6491694e-11,1.5610399e-14,
124,,0.015064271,0.0006469094,3.2135351e-06,,,,3.1425116e-16,5.4173038e-11,1.2126388e-14,
