param,sweep_val,cf_S11_re,cf_S11_im
Cbv,1.0303030303030307,0.9678350687026978,-0.17051590979099274
Cbv,1.070707070707071,0.9677515625953674,-0.17037776112556458
Cbv,1.1111111111111112,0.9675618410110474,-0.17014113068580627
Cbv,1.1515151515151518,0.966498851776123,-0.1698041707277298
Cbv,1.191919191919192,0.9648277163505554,-0.16927312314510345
Cbv,1.2323232323232327,0.9631683826446533,-0.16864678263664246
Cbv,1.272727272727273,0.9615240097045898,-0.16801878809928894
Cbv,1.3131313131313136,0.9599193334579468,-0.16737033426761627
Cbv,1.3535353535353538,0.9582592844963074,-0.1666124016046524
Cbv,1.393939393939394,0.9566119909286499,-0.1658710390329361
Cbv,1.4343434343434347,0.9549662470817566,-0.1651325672864914
Cbv,1.474747474747475,0.9533446431159973,-0.16434945166110992
Cbv,1.5151515151515156,0.9516644477844238,-0.16363568603992462
Cbv,1.5555555555555558,0.9499597549438477,-0.16294008493423462
Cbv,1.5959595959595965,0.9480137825012207,-0.1621788740158081
Cbv,1.6363636363636367,0.946048378944397,-0.1613198071718216
Cbv,1.676767676767677,0.9440786838531494,-0.16046884655952454
Cbv,1.7171717171717176,0.9421223998069763,-0.15959954261779785
Cbv,1.7575757575757578,0.9401847124099731,-0.15873286128044128
Cbv,1.7979797979797985,0.9382767677307129,-0.1578788161277771
Cbv,1.8383838383838387,0.9364052414894104,-0.15709301829338074
Cbv,1.878787878787879,0.9345240592956543,-0.15626224875450134
Cbv,1.9191919191919196,0.9326778650283813,-0.1554330587387085
Cbv,1.9595959595959598,0.9308649301528931,-0.15459725260734558
Cbv,2.0,0.9290977716445923,-0.15380233526229858
Rdv,-2.0,0.7737131714820862,-0.03147733211517334
Rdv,-1.9595959595959596,0.7767519950866699,-0.03354710340499878
Rdv,-1.9191919191919191,0.7798067331314087,-0.035648494958877563
Rdv,-1.878787878787879,0.7828629612922668,-0.037751197814941406
Rdv,-1.8383838383838385,0.785919189453125,-0.039853841066360474
Rdv,-1.797979797979798,0.7889752984046936,-0.041956499218940735
Rdv,-1.7575757575757576,0.7920315265655518,-0.04405917972326279
Rdv,-1.7171717171717171,0.7950845956802368,-0.0461592972278595
Rdv,-1.6767676767676767,0.7981367707252502,-0.04825625568628311
Rdv,-1.6363636363636362,0.8011889457702637,-0.05035178363323212
Rdv,-1.595959595959596,0.8042411804199219,-0.052447304129600525
Rdv,-1.5555555555555556,0.8072933554649353,-0.05454285442829132
Rdv,-1.5151515151515151,0.8103422522544861,-0.05663823336362839
Rdv,-1.4747474747474747,0.8133693337440491,-0.05873273313045502
Rdv,-1.4343434343434343,0.8163981437683105,-0.06082971394062042
Rdv,-1.393939393939394,0.8194271326065063,-0.06292697042226791
Rdv,-1.3535353535353534,0.8224823474884033,-0.06503009051084518
Rdv,-1.3131313131313131,0.8255638480186462,-0.0671391636133194
Rdv,-1.2727272727272727,0.8286454677581787,-0.0692482739686966
Rdv,-1.2323232323232323,0.8317270278930664,-0.07135733962059021
Rdv,-1.1919191919191918,0.8348044753074646,-0.07347740232944489
Rdv,-1.1515151515151514,0.8379006385803223,-0.07564342767000198
Rdv,-1.1111111111111112,0.8410047888755798,-0.07781185209751129
Rdv,-1.0707070707070705,0.8441568613052368,-0.07998095452785492
Rdv,-1.0303030303030303,0.8473426103591919,-0.0821474939584732
Rdv,-0.9898989898989898,0.8505556583404541,-0.08430938422679901
Rdv,-0.9494949494949494,0.8537986874580383,-0.08646411448717117
Rdv,-0.909090909090909,0.857041597366333,-0.08861826360225677
Rdv,-0.8686868686868685,0.860286295413971,-0.09076590090990067
Rdv,-0.8282828282828283,0.8635451793670654,-0.09292781352996826
Rdv,-0.7878787878787878,0.8668308258056641,-0.09513028711080551
Rdv,-0.7474747474747474,0.8701366186141968,-0.09733385592699051
Rdv,-0.707070707070707,0.8734906315803528,-0.09956764429807663
Rdv,-0.6666666666666665,0.8769348859786987,-0.1018945500254631
Rdv,-0.6262626262626261,0.8804100751876831,-0.10425490140914917
Rdv,-0.5858585858585856,0.8839661478996277,-0.10669837892055511
Rdv,-0.5454545454545454,0.8875835537910461,-0.10919710248708725
Rdv,-0.505050505050505,0.8913170099258423,-0.11177277565002441
Rdv,-0.46464646464646453,0.8952090740203857,-0.11439456045627594
Rdv,-0.4242424242424241,0.8992346525192261,-0.11711260676383972
Rdv,-0.38383838383838365,0.9032928347587585,-0.11988364160060883
Rdv,-0.3434343434343432,0.9073543548583984,-0.12266451865434647
Rdv,-0.303030303030303,0.9117079973220825,-0.12550446391105652
Rdv,-0.26262626262626254,0.9161993861198425,-0.12843188643455505
Rdv,-0.2222222222222221,0.9209728837013245,-0.1312744915485382
Rdv,-0.18181818181818166,0.9258000254631042,-0.13399656116962433
Rdv,-0.14141414141414121,0.9306800961494446,-0.1368626207113266
Rdv,-0.10101010101010077,0.9356362819671631,-0.13990135490894318
Rdv,-0.06060606060606055,0.9404287338256836,-0.1420225352048874
Rdv,-0.02020202020202011,0.9446506500244141,-0.14403699338436127
Rdv,0.020202020202020332,0.9469311237335205,-0.1462199091911316
Rdv,0.060606060606060996,0.9476056694984436,-0.14930029213428497
Rdv,0.10101010101010122,0.9480091333389282,-0.15341247618198395
Rdv,0.14141414141414144,0.9458572268486023,-0.15725578367710114
Rdv,0.1818181818181821,0.9400482773780823,-0.15938903391361237
Rdv,0.22222222222222232,0.9451701641082764,-0.16114717721939087
Rdv,0.262626262626263,0.9502988457679749,-0.16294580698013306
Rdv,0.3030303030303032,0.9540215730667114,-0.16432085633277893
Rdv,0.3434343434343434,0.9558728337287903,-0.16516757011413574
Rdv,0.3838383838383841,0.9576547145843506,-0.1659800261259079
Rdv,0.4242424242424243,0.9590596556663513,-0.16659507155418396
Rdv,0.464646464646465,0.9604587554931641,-0.1672021746635437
