sample,freq_GHz,Zapp_d_Re,Zapp_d_Im,Zapp_t_Re,Zapp_t_Im,Zth_pred_Re,Zth_pred_Im,Zth_true_Re,Zth_true_Im
257,34.48755760368664,79.20284,383.68753,77.955315,364.69128,540.9481281596665,2145.2019860179303,576.4914130730238,2182.966879625622
257,34.587695852534566,78.771454,382.63904,77.53305,363.69852,538.1093988117603,2139.6867924344892,573.4388249590611,2177.442946563713
257,34.687834101382485,78.34355,381.59586,77.11411,362.71072,535.2933710215691,2134.1978955199315,570.410401239469,2171.944622870286
257,34.78797235023041,77.91924,380.5578,76.6986,361.72784,532.499808436311,2128.735125759907,567.4058936335035,2166.471751768048
257,34.88811059907834,77.49843,379.52496,76.286575,360.74973,529.7284777012729,2123.298314858161,564.4250569572359,2161.0241774791407
257,34.988248847926265,77.08093,378.49728,75.87781,359.7765,526.9791484154506,2117.8872957298427,561.4676490787037,2155.6017452223896
257,35.08838709677419,76.66687,377.4748,75.47227,358.80814,524.2515930879308,2112.5019024947464,558.5334308737924,2150.2043012104245
257,35.18852534562212,76.256226,376.45724,75.07006,357.84445,521.5455870950008,2107.1419704705027,555.6221661828296,2144.831692646657
257,35.288663594470044,75.848755,375.44482,74.67102,356.8855,518.8609086379731,2101.807336165702,552.7336217678867,2139.4837677221376
257,35.38880184331797,75.44462,374.43747,74.27523,355.93124,516.1973387017097,2096.4978372729765,549.8675672707683,2134.1603756122836
257,35.4889400921659,75.04379,373.435,73.88261,354.98166,513.5546610138359,2091.213312662032,547.0237751716819,2128.861366473495
257,35.589078341013824,74.64611,372.4375,73.493095,354.03677,510.9326620046303,2085.953602372635,544.2020207485747,2123.5865914396554
257,35.68921658986175,74.25169,371.44485,73.10667,353.09634,508.3311307675757,2080.7185476075597,541.4020820371222,2118.3359026185285
257,35.78935483870968,73.86028,370.45712,72.72329,352.16058,505.749859020565,2075.507990725506,538.6237397913659,2113.1091530880503
257,35.889493087557604,73.47211,369.4741,72.3429,351.22925,503.1886410677431,2070.321775233973,535.866777444978,2107.9061968925294
257,35.98963133640553,73.08692,368.496,71.96555,350.30258,500.64727376198,2065.159745782121,533.1309810731492,2102.7268890387472
257,36.08976958525346,72.70485,367.5226,71.59125,349.38028,498.1255564679566,2060.0217481535865,530.4161393550874,2097.5710854919803
257,36.18990783410138,72.32572,366.554,71.2198,348.4624,495.62329102585977,2054.907629259295,527.7220435371153,2092.438643171932
257,36.29004608294931,71.94966,365.59,70.8513,347.54892,493.1402817156684,2049.817237130238,525.0484873963567,2087.3294199485886
257,36.390184331797236,71.57652,364.63074,70.48563,346.63986,490.6763352220254,2044.7504209102458,522.3952672050008,2082.2432746379977
257,36.49032258064516,71.206375,363.67606,70.122826,345.7351,488.23126059968206,2039.707030848738,519.7621816951378,2077.1800669979802
257,36.59046082949309,70.838974,362.726,69.76282,344.83472,485.8048692395054,2034.6869182934672,517.1490320241505,2072.139657723773
257,36.690599078341016,70.47454,361.78052,69.40562,343.9386,483.3969748350367,2029.6899356832498,514.5556217406559,2067.121908443601
257,36.79073732718894,70.112946,360.83957,69.0512,343.04672,481.00739334959485,2024.7159365406962,511.98175675098713,2062.126681714205
257,36.89087557603687,69.75414,359.9031,68.69953,342.15903,478.63594298391143,2019.7647754649304,509.42724528620295,2057.1538410162966
257,36.991013824884796,69.39814,358.9711,68.35053,341.2756,476.28244414429025,2014.8363081243158,506.8918978696219,2052.2032507499707
257,37.09115207373272,69.04484,358.04358,68.00417,340.39636,473.94671941127956,2009.9303912491744,504.3755272848639,2047.2747762300612
257,37.19129032258065,68.694214,357.12042,67.66053,339.52118,471.62859350885043,2005.04688262451,501.87794854439875,2042.3682836814558
257,37.29142857142857,68.34636,356.20175,67.31949,338.6502,469.32789327407096,2000.185641082744,499.3989788585871,2037.4836402343633
257,37.391566820276495,68.00112,355.28732,66.98105,337.7832,467.0444476272651,1995.3465264964402,496.9384376052056,2032.6207139195367
257,37.49170506912442,67.658676,354.37726,66.645226,336.92032,464.778087542655,1990.5293997710596,494.4961462994533,2027.7793736634667
257,37.59184331797235,67.318634,353.47147,66.31188,336.06146,462.5286460194676,1985.7341228377072,492.071928564424,2022.9594892835314
257,37.691981566820274,66.981346,352.56982,65.98112,335.20663,460.29595805350743,1980.960558645902,489.665610102041,2018.1609314831164
257,37.7921198156682,66.64649,351.67258,65.65277,334.35577,458.07986060917904,1976.2085711563539,487.27701866444386,2013.3835718467053
257,37.89225806451613,66.31427,350.77948,65.32699,333.50882,455.8801925919579,1971.4780253337576,484.90598402582265,2008.6272828349386
257,37.992396313364054,65.98454,349.89053,65.003586,332.6658,453.6967948212972,1966.7687871396063,482.552337954688,2003.891937779652
257,38.09253456221198,65.657326,349.00574,64.68262,331.82672,451.5295100039642,1962.0807235250152,480.215914186572,1999.1774108788852
257,38.19267281105991,65.33258,348.12506,64.36411,330.9915,449.37818270780065,1957.4137024235727,477.89654839715155,1994.4835771918733
257,38.292811059907834,65.01018,347.2485,64.0479,330.16006,447.24265933589624,1952.7675927442074,475.5940781757897,1989.8103126340204
257,38.39294930875576,64.69021,346.376,63.734104,329.3325,445.12278810117056,1948.1422643640776,473.30834299948253,1985.1574939718516
257,38.49308755760369,64.372696,345.50748,63.422543,328.5087,443.018419001355,1943.5375881214839,471.0391842072073,1980.5249988179478
257,38.59322580645161,64.057526,344.64307,63.113445,327.68866,440.9294037943683,1938.9534358088038,468.78644497467053,1975.9127056258783
257,38.69336405529954,63.74468,343.7826,62.80651,326.8725,438.85559597407934,1934.389680165458,466.5499702894382,1971.3204936851105
257,38.79350230414747,63.43415,342.92606,62.501884,326.0599,436.79685074644794,1929.8461948708918,464.32960692644895,1966.7482431159108
257,38.89364055299539,63.12592,342.07343,62.1995,325.25095,434.75302500604204,1925.3228545375957,462.1252034239073,1962.1958348642474
257,38.99377880184332,62.82,341.22476,61.899338,324.44577,432.7239773129169,1920.8195347041426,459.9366100595363,1957.6631506966694
257,39.093917050691246,62.516323,340.37994,61.60132,323.64426,430.7095678698603,1916.3361118282644,457.7636788272023,1953.1500731952005
